LocationID,Latitude,Longitude
04G,41.1304722,-80.6195833
06A,32.4605722,-85.6800278
06C,41.9893408,-88.1012428
06N,41.431912,-74.3915611
09J,31.0744722,-81.4277778
0A9,36.3712222,-82.1734167
0G6,41.4673056,-84.5067778
0G7,42.8835647,-76.7812318
0P2,39.7948244,-76.6471914
0S9,48.0538086,-122.8106436
0W3,39.5668378,-76.2024028
10C,42.4028889,-88.3751111
17G,40.7815556,-82.9748056
19A,34.1758638,-83.5615972
1A3,35.0158056,-84.3468333
1B9,42.0001331,-71.1967714
1C9,54.01333333,-124.7683333
1CS,41.6959744,-88.1292306
1G3,41.1513889,-81.4151111
1G4,35.899904,-113.815674
1H2,39.07,-88.534
1OH,40.5553253,-84.3866186
1RL,48.9797222,-123.0788889
23M,32.0517,-88.4434
24C,42.95392,-85.3439058
24J,30.300125,-83.0246944
25D,45.2477456,-92.9943853
29D,41.1460278,-80.16775
2A0,35.48625,-84.9310833
2B2,42.7953611,-70.8394444
2G2,40.3602179,-80.7008742
2G9,40.0388708,-79.0149951
2H0,39.410556,-88.845556
2J9,30.5978708,-84.557425
36U,40.4818056,-111.4288056
38W,48.9558961,-122.4581183
3D2,45.1354167,-87.1879444
3G3,41.0031572,-81.7564401
3G4,40.9029722,-82.2556389
3J1,32.4934167,-80.99175
3W2,41.3521,-82.497
40J,30.0692778,-83.5805833
41N,41.2111675,-80.9692572
47A,34.3122175,-84.4221556
49A,34.6282222,-84.5265833
49X,34.528889,-114.431971
4A4,34.0186944,-85.1464722
4A7,33.389099,-84.332397
4A9,34.4736944,-85.7213889
4B8,41.6893333,-72.8646944
4G0,40.4526389,-79.7749167
4G2,42.7008925,-78.9147569
4G4,40.9617953,-80.6773264
4I7,39.6335556,-86.8138056
4U9,44.7357483,-112.7200133
52A,33.612125,-83.4604444
54J,30.7311111,-86.1537778
55J,30.6118333,-81.4611944
55S,46.3625,-121.4067
57C,42.7971667,-88.3726111
5B2,43.050722,-73.861638
60J,33.9085056,-78.4366722
6A2,33.2269722,-84.2749444
6J4,33.5561,-81.4768
6K8,63.329444,-142.953611
6S0,45.8063889,-109.9811111
6S2,43.9828168,-124.1113687
6Y8,45.721111,-85.520278
70J,30.8879767,-84.1547353
70N,41.3473569,-75.4158972
7A4,42.4664444,-90.1693889
7D9,41.7778322,-80.9039797
7N7,39.7355633,-75.3977211
8M8,44.8065278,-84.2761944
93C,43.2833575,-90.2982819
99N,33.3045278,-81.1084167
9A1,33.6323083,-83.8474472
9A5,34.6884792,-85.2903319
9G1,40.6035463,-79.8261189
A39,32.99169922,-111.9209976
A50,38.87,-104.41
AAA,-17.352606,-145.509956
AAC,31.073333,33.835833
AAE,36.822225,7.809167
AAF,29.7276066,-85.0274416
AAH,50.823194,6.186389
AAJ,3.898611,-55.577778
AAK,0.185278,173.636389
AAL,57.092789,9.849164
AAM,-24.818111,31.544584
AAN,24.261667,55.609167
AAO,9.430225,-64.470725
AAP,29.43,-95.35
AAQ,45.002097,37.347272
AAR,56.300017,10.619008
AAT,47.866667,88.116667
AAU,-13.505,-172.627778
AAX,-19.563056,-46.960278
AAY,16.191667,52.175
AAZ,14.8656,-91.502
ABA,53.74,91.385
ABD,30.371111,48.228333
ABE,40.652083,-75.440806
ABF,1.8,173.04
ABI,32.411319,-99.681897
ABJ,5.261386,-3.926294
ABK,6.734,44.253
ABL,67.106389,-157.8575
ABM,-10.950833,142.459444
ABN,5.516667,-54.05
ABQ,35.0402222,-106.6091944
ABR,45.4491,-98.4218
ABS,22.375953,31.611722
ABT,20.296139,41.634277
ABV,9.006792,7.263172
ABX,-36.067778,146.958056
ABY,31.5355,-84.1945
ABZ,57.201944,-2.197778
ACA,16.757061,-99.753953
ACC,5.605186,-0.166786
ACD,8.516667,-77.3
ACE,28.945464,-13.605225
ACH,47.485033,9.560775
ACI,49.706111,-2.214722
ACJ,32.0665,-84.1133
ACK,41.253053,-70.060181
ACP,37.348017,46.127903
ACR,-0.58,-72.41
ACRT,48.50728,-122.677596
ACT,31.611289,-97.230519
ACU,9.2,-77.98
ACV,40.978111,-124.108611
ACX,25.0882,104.9587
ACY,39.457583,-74.577167
ADA,36.982166,35.280388
ADB,38.292392,27.156953
ADD,8.977889,38.799319
ADE,12.829542,45.028792
ADF,37.7314,38.4689
ADH,58.603056,125.407222
ADJ,31.972703,35.991569
ADK,51.878,-176.646
ADL,-34.945,138.530556
ADM,34.300833,-97.008889
ADQ,57.749967,-152.493856
ADS,32.9685594,-96.8364478
ADU,38.325678,48.424356
ADW,38.810806,-76.867028
ADX,56.372889,-2.868444
ADY,-22.678889,29.055278
ADZ,12.583594,-81.711192
AEA,0.490833,173.828611
AEB,23.72,106.96
AEH,13.847,20.844333
AEP,-34.559175,-58.415606
AER,43.449928,39.956589
AES,62.560372,6.110164
AET,66.5519,-152.6222
AEX,31.3274,-92.549833
AEY,65.659994,-18.072703
AFA,-34.588314,-68.403854
AFE,56.961389,-133.910278
AFL,-9.866092,-56.106206
AFS,41.6139,64.2332
AFT,-9.183056,160.949722
AFW,32.987778,-97.318889
AFY,38.726425,30.601114
AFZ,36.168083,57.595183
AGA,30.381353,-9.546311
AGB,48.425158,10.931764
AGC,40.3544,-79.9302
AGE,53.7828,7.91389
AGF,44.174721,0.590556
AGH,56.2961,12.8471
AGI,5.76667,-56.63333
AGJ,26.592778,127.240278
AGL,-9.333,149.15
AGM,65.612222,-37.618333
AGN,57.503611,-134.585
AGP,36.6749,-4.499106
AGQ,38.602022,21.351208
AGR,27.155831,77.960892
AGS,33.369944,-81.9645
AGT,-25.4555,-54.843592
AGU,21.705558,-102.317858
AGV,9.553422,-69.237536
AGX,10.823656,72.176042
AGZ,-29.281767,18.813869
AHB,18.240367,42.656625
AHE,-14.4281,-146.257
AHN,33.9486,-83.3263
AHO,40.632133,8.290772
AHS,15.4722,-84.3522
AHU,35.177103,-3.839525
AIA,42.053333,-102.803889
AIC,7.1,171.233333
AIE,-5.8,144.44
AIK,33.6493889,-81.6850278
AIM,10.2168,169.983
AIN,70.638056,-159.994722
AIS,-2.633333,179.816667
AIT,-18.830922,-159.764233
AIU,-19.9678,-158.119
AIZ,38.096035,-92.5494875
AJA,41.923637,8.802917
AJF,29.785133,40.100006
AJI,39.6546,43.0271
AJL,23.746603,92.802767
AJN,-12.131667,44.430279
AJR,65.590278,19.281944
AJU,-10.984,-37.070333
AJY,16.965997,8.000114
AKA,32.7081,108.931
AKB,52.220278,-174.206389
AKC,41.0375,-81.466917
AKD,20.699006,77.058628
AKF,24.178728,23.313958
AKI,60.902778,-161.230556
AKJ,43.670833,142.4475
AKK,56.938611,-154.1825
AKL,-37.008056,174.791667
AKN,58.676778,-156.649278
AKP,68.1336,-151.743
AKR,7.246739,5.301008
AKS,-8.70257,160.682
AKT,34.590416,32.987861
AKU,41.2625,80.2917
AKV,60.8186,-78.1486
AKX,50.245833,57.206667
AKY,20.132708,92.872628
ALA,43.352072,77.040508
ALB,42.748267,-73.801692
ALC,38.282169,-0.558156
ALF,69.976111,23.371667
ALG,36.691014,3.215408
ALH,-34.9433,117.809
ALI,27.740889,-98.026944
ALJ,-28.575001,16.533333
ALL,44.050608,8.127428
ALM,32.8399,-105.991
ALO,42.5571,-92.4003
ALP,36.180675,37.224358
ALR,-45.211666,169.373333
ALS,37.435,-105.866667
ALU,11.95,50.733
ALW,46.0949,-118.288
ALX,38.806346,-77.0621
ALY,31.183903,29.948889
ALZ,56.899444,-154.247778
AMA,35.219369,-101.705931
AMB,-13.188431,48.987978
AMC,11.034,20.274
AMD,23.077242,72.63465
AMH,6.039389,37.590453
AMI,-8.560708,116.094656
AMM,31.722556,35.993214
AMQ,-3.710264,128.089136
AMS,52.308613,4.763889
AMV,69.7633,61.5564
AMY,-17.1667,47.1833
AMZ,-37.029722,174.973333
ANB,33.588167,-85.858111
ANC,61.174361,-149.996361
AND,34.494583,-82.709389
ANDR,-20.963272,55.652508
ANE,47.5603,-0.312222
ANF,-23.444478,-70.4451
ANG,45.729247,0.221456
ANI,61.5816,-159.543
ANK,39.949831,32.688622
ANM,-14.999411,50.320233
ANN,55.042436,-131.572233
ANP,38.942778,-76.568333
ANQ,41.6396983,-85.0834933
ANR,51.189444,4.460278
ANS,-13.706408,-73.350378
ANU,17.136749,-61.792667
ANV,62.6467,-160.191
ANX,69.2925,16.144167
AOC,50.981817,12.506361
AOE,39.809858,30.519378
AOH,40.707478,-84.0270781
AOI,43.616389,13.362222
AOJ,40.734722,140.690833
AOK,35.421408,27.146008
AOL,-29.689425,-57.152078
