Year,Month,Day,TSU,EQ,Name,Location,Country,Latitude,Longitude,Elevation,Type,Status,Time,VEI,Agent,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION
-4360,,,,,Macauley Island,Kermadec Is,New Zealand,-30.2,-178.47,238,Caldera,Holocene,U,6,,,,,,,,,,,,,,,,,,,,,
-4350,,,,,Kikai,Ryukyu Is,Japan,30.78,130.28,717,Caldera,Historical,D1,7,P,,3,,,,,,3,,3,,3,,,,,,3,,3
-4050,,,,,Masaya,Nicaragua,Nicaragua,11.984,-86.161,635,Caldera,Historical,D1,6,,,,,,,,,,,,,,,,,,,,,
-4000,,,,,Pago,New Britain-SW Pac,Papua New Guinea,-5.58,150.52,742,Caldera,Historical,D2,6,T,,1,,,,,,1,,,,1,,,,,,1,,
-3580,,,,,Taal,Luzon-Philippines,Philippines,14.002,120.993,400,Stratovolcano,Historical,D1,6,,,,,,,,,,,,,,,,,,,,,
-3550,,,,,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,Historical,D1,6,,,,,,,,,,,,,,,,,,,,,
-2420,,,,,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,Historical,D2,5,"P,T",,,,,,,,,,,,,,,,,,,,
-2040,,,,,Long Island,New Guinea-NE of,Papua New Guinea,-5.358,147.12,1280,Complex volcano,Historical,D1,6,,,,,,,,,,,,,,,,,,,,,
-1900,,,,,Black Peak,Alaska Peninsula,United States,56.53,-158.8,1032,Stratovolcano,Radiocarbon,D7,6,,,,,,,,,,,,,,,,,,,,,
-1860,,,,,St. Helens,US-Washington,United States,46.2,-122.18,2549,Stratovolcano,Historical,D1,6,,,,,,,,,,,,,,,,,,,,,
-1750,,,,,Veniaminof,Alaska Peninsula,United States,56.17,-159.38,2507,Stratovolcano,Historical,D1,6,,,,,,,,,,,,,,,,,,,,,
-1645,,,,,Aniakchak,Alaska Peninsula,United States,56.88,-158.17,1341,Caldera,Historical,D2,6,,,,,,,,,,,,,,,,,,,,,
-1610,,,TSU,EQ,Santorini,Greece,Greece,36.404,25.396,329,Shield volcano,Historical,D2,6,W,,3,,,,,,3,,,,3,,,,,,3,,
-1550,,,TSU,,Redoubt,Alaska-SW,United States,60.48,-152.75,3108,Stratovolcano,Historical,D1,,,,,,,,,,,,,,,,,,,,,,
-1460,,,,,Taupo,New Zealand,New Zealand,-38.82,176,760,Caldera,Radiocarbon,D6,6,,,,,,,,,,,,,,,,,,,,,
-1370,,,,,Pago,New Britain-SW Pac,Papua New Guinea,-5.58,150.52,742,Caldera,Historical,D2,6,,,,,,,,,,,,,,,,,,,,,
-1050,,,,,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,Historical,D1,6,,,,,,,,,,,,,,,,,,,,,
-1010,,,,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,Historical,D1,5,,,3,,,,,,,,,,3,,,,,,,,
-455,,,,,Cotopaxi,Ecuador,Ecuador,-0.677,-78.436,5911,Stratovolcano,Historical,D2,4,M,,1,,,,,,,,,,1,,,,,,,,
-250,,,,,Raoul Island,Kermadec Is,New Zealand,-29.27,-177.92,516,Stratovolcano,Historical,D1,6,,,,,,,,,,,,,,,,,,,,,
-197,,,TSU,,Santorini,Greece,Greece,36.404,25.396,329,Shield volcano,Historical,D2,3,,,,,,,,,,,,,,,,,,,,,
-150,,,,,St. Andrew Strait,Admiralty Is-SW Paci,Papua New Guinea,-2.38,147.35,270,Complex volcano,Historical,D2,,,,3,,,,,,,,,,3,,,,,,,,
-141,,,,,Etna,Italy,Italy,37.734,15.004,3350,Stratovolcano,Historical,D1,,,40,1,,,,,,,,,40,1,,,,,,,,
-100,,,,,Okmok,Aleutian Is,United States,53.42,-168.13,1073,Shield volcano,Historical,D1,6,,,,,,,,,,,,,,,,,,,,,
-50,,,,,Apoyeque,Nicaragua,Nicaragua,12.242,-86.342,518,Pyroclastic shield,Radiocarbon,D7,6,,,,,,,,,,,,,,,,,,,,,
46,,,TSU,,Santorini,Greece,Greece,36.404,25.396,329,Shield volcano,Historical,D2,3,,,,,,,,,,,,,,,,,,,,,
50,,,,,Ambrym,Vanuatu-SW Pacific,Vanuatu,-16.25,168.12,1334,Pyroclastic shield,Historical,D1,6,,,,,,,,,,,,,,,,,,,,,
60,,,,,Bona-Churchill,Alaska-E,United States,61.38,-141.75,5005,Stratovolcano,Radiocarbon,D6,6,,,,,,,,,,,,,,,,,,,,,
79,8,25,,,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,Historical,D2,5,"P,T",2100,4,,,,,,,,,2100,4,,,,,,,,
200,,,,,"Arhab, Harra of",Arabia-S,Yemen,15.63,44.08,3100,Volcanic field,Historical,D6,,,,,,,,,,1,,,,,,,,,,1,,
230,,,,,Taupo,New Zealand,New Zealand,-38.82,176,760,Caldera,Radiocarbon,D6,6,,,,,,,,,,,,,,,,,,,,,
240,,,,,Ksudach,Kamchatka,Russia,51.8,157.53,1079,Stratovolcano,Historical,D2,6,,,,,,,,,,,,,,,,,,,,,
350,,,TSU,,Augustine,Alaska-SW,United States,59.37,-153.42,1252,Lava dome,Historical,D1,,,,,,,,,,,,,,,,,,,,,,
416,,,TSU,,Krakatau,Indonesia,Indonesia,-6.102,105.423,813,Caldera,Historical,D1,,W,,1,,,,,,1,,,,3,,,,,,4,,
450,,,,,Ilopango,El Salvador,El Salvador,13.672,-89.053,450,Caldera,Historical,D3,6,,30000,4,,,,,,,,,30000,4,,,,,,,,
500,,,,,"Arhab, Harra of",Arabia-S,Yemen,15.63,44.08,3100,Volcanic field,Historical,D6,,,,,,,,,,1,,,,,,,,,,1,,
540,,,,,Rabaul,New Britain-SW Pac,Papua New Guinea,-4.271,152.203,688,Pyroclastic shield,Historical,D1,6,,,,,,,,,1,,,,,,,,,,,,
590,,,,,San Salvador,El Salvador,El Salvador,13.736,-89.286,1893,Stratovolcano,Historical,D2,,,,1,,,,,,,,,,1,,,,,,,,
640,,,,,"Uwayrid, Harrat",Arabia-W,Saudi Arabia,27.08,37.25,1900,Volcanic field,Anthropology,D6,2,T,,1,,,,,,,,,,1,,,,,,,,
710,,,,,Pago,New Britain-SW Pac,Papua New Guinea,-5.58,150.52,742,Caldera,Historical,D2,6,,,,,,,,,,,,,,,,,,,,,
764,,,,,Sakura-jima,Kyushu-Japan,Japan,31.58,130.67,1117,Stratovolcano,Historical,D1,4,"T,L",80,2,,,,,,,,,80,2,,,,,,,,
