,Drought,SB,Access,Slopes,Fuel,Fire
0,1,1,0,1,1,0
1,1,0,0,0,0,0
2,1,1,0,1,1,0
3,0,1,1,0,1,1
4,0,0,1,0,1,1
5,1,1,0,1,1,0
6,0,1,0,1,0,0
7,1,0,1,0,0,0
8,0,0,1,1,0,1
9,0,1,0,0,1,1
10,0,0,0,1,1,0
11,1,0,1,0,1,0
12,0,1,0,1,1,1
13,0,1,1,1,1,1
14,1,0,0,0,0,1
15,0,1,0,1,1,0
16,0,0,0,1,1,0
17,0,0,0,0,0,0
18,0,0,1,1,0,0
19,1,1,0,0,1,1
20,1,1,0,0,0,0
21,1,0,0,0,0,1
22,0,1,0,1,1,1
23,0,0,0,0,0,1
24,1,0,0,1,1,0
25,1,0,1,1,1,1
26,1,0,0,1,0,1
27,1,1,0,1,1,1
28,0,0,0,1,0,1
29,1,0,0,0,1,0
30,1,1,1,1,0,1
31,0,0,1,1,1,0
32,0,1,1,1,1,0
33,1,1,1,1,1,1
34,1,0,0,1,1,1
35,1,0,1,0,1,1
36,1,0,1,1,1,0
37,0,0,0,0,0,0
38,0,0,0,1,0,1
39,0,1,1,0,1,1
40,1,1,0,0,1,0
41,0,0,1,0,0,1
42,1,1,1,1,1,0
43,1,1,1,0,1,1
44,1,1,0,1,1,1
45,1,0,0,0,1,0
46,0,1,1,0,0,1
47,1,0,1,1,0,1
48,0,1,0,0,1,0
49,0,1,0,0,1,1
50,1,0,1,0,0,1
51,0,1,0,0,1,1
52,0,1,1,0,0,1
53,1,0,0,0,0,1
54,0,0,1,0,0,1
55,0,0,1,1,0,0
56,1,1,1,0,1,0
57,0,1,0,1,1,1
58,0,1,0,1,0,1
59,0,1,0,1,1,0
60,1,1,1,1,1,1
61,0,0,1,1,0,1
62,0,1,0,1,1,0
63,1,0,0,1,1,1
64,1,1,0,1,1,0
65,0,1,1,1,1,0
66,0,0,0,1,0,0
67,0,0,1,0,1,0
68,0,0,1,0,0,0
69,0,0,0,0,1,0
70,1,1,1,1,1,0
71,1,0,0,0,1,1
72,0,1,1,1,1,0
73,1,0,1,0,0,1
74,0,0,1,0,1,1
75,1,1,1,0,0,0
76,0,1,0,0,0,0
77,0,1,1,0,1,1
78,1,1,1,1,0,0
79,1,1,0,0,0,1
80,1,1,0,1,0,1
81,0,1,0,1,1,0
82,1,0,0,0,1,0
83,1,0,0,0,1,0
84,0,0,1,0,1,1
85,0,1,1,0,0,0
86,0,1,1,1,1,0
87,0,1,0,1,1,0
88,0,1,1,0,1,1
89,0,1,0,0,1,0
90,1,0,1,0,1,1
91,1,1,0,1,0,0
92,0,0,0,0,0,0
93,1,0,1,1,1,0
94,1,1,1,1,0,1
95,0,1,0,0,1,1
96,1,0,1,0,1,1
97,1,0,0,1,0,1
98,0,1,0,1,1,1
99,0,0,1,1,0,1
100,1,1,0,0,1,1
101,0,0,1,1,0,1
102,0,0,0,0,1,0
103,0,1,0,0,1,1
104,0,0,0,1,1,0
105,0,0,0,1,1,1
106,1,1,0,0,0,0
107,0,1,1,1,0,0
108,0,1,0,0,1,1
109,1,1,1,0,1,1
110,0,0,1,1,0,0
111,0,1,1,1,1,1
112,1,0,0,0,1,0
113,1,1,1,0,0,0
114,0,0,1,1,0,1
115,0,1,0,0,1,0
116,0,1,0,0,1,0
117,0,0,0,1,1,0
118,0,1,0,1,0,0
119,0,0,1,0,1,0
120,0,1,1,0,1,1
121,1,0,0,1,1,0
122,0,0,1,1,0,0
123,1,0,0,0,1,0
124,1,1,0,1,1,0
125,0,1,0,1,0,1
126,0,1,1,1,1,0
127,1,0,1,1,1,1
128,0,1,1,1,1,1
129,0,1,0,1,1,0
130,0,1,1,1,1,1
131,1,0,0,0,0,1
132,0,0,0,0,0,0
133,1,0,0,1,1,1
134,0,1,1,1,1,0
135,0,0,1,1,0,1
136,1,1,0,1,0,0
137,0,0,1,1,1,1
138,0,1,0,1,0,0
139,1,1,1,1,0,1
140,1,1,0,1,1,0
141,1,1,0,1,1,1
142,0,0,0,1,0,1
143,1,1,1,1,1,1
144,1,1,1,1,1,1
145,1,0,1,0,0,1
146,1,1,1,0,1,1
147,0,0,0,1,1,0
148,0,1,1,1,0,1
149,0,1,0,1,1,0
150,0,0,0,0,1,0
151,1,1,0,0,0,0
152,0,1,1,1,0,0
153,0,1,1,0,1,0
154,0,1,1,0,1,0
155,0,0,1,0,1,1
156,1,0,1,0,1,1
157,1,0,1,1,1,1
158,0,0,0,0,1,1
159,0,0,0,1,0,1
160,0,1,1,1,0,1
161,1,1,1,0,0,1
162,1,1,0,1,1,0
163,0,0,0,1,1,1
164,0,0,1,1,1,1
165,0,0,1,1,0,0
166,0,1,0,0,1,1
167,1,1,1,1,0,0
168,0,1,1,0,0,0
169,1,1,1,1,1,0
170,0,1,1,1,1,0
171,1,1,0,0,1,1
172,0,1,0,1,0,0
173,1,1,1,0,0,0
174,1,1,1,1,0,0
175,0,1,1,0,0,0
176,0,0,0,1,1,1
177,1,0,0,1,0,0
178,1,0,0,0,1,1
179,0,0,0,0,0,0
180,0,0,1,0,1,1
181,0,1,0,0,1,0
182,0,1,1,1,1,1
183,0,0,1,0,0,1
184,1,1,0,1,0,1
185,0,1,0,1,1,0
186,1,1,1,1,1,0
187,0,0,1,0,1,1
188,0,1,1,0,0,0
189,1,0,0,1,0,0
190,0,0,0,1,1,0
191,1,0,1,0,0,0
192,0,1,0,0,1,0
193,1,0,0,0,0,1
194,1,0,0,0,0,1
195,1,1,0,1,1,0
196,1,0,1,0,0,1
197,0,0,1,1,0,0
198,1,0,1,1,0,0
199,1,1,0,0,0,1
200,1,1,1,0,1,1
201,1,0,0,0,1,0
202,1,0,0,0,0,1
203,0,0,0,0,1,1
204,0,0,0,0,1,0
205,1,1,1,0,1,1
206,0,0,0,1,1,0
207,0,0,1,1,0,1
208,1,1,1,0,1,1
209,1,1,0,0,1,1
210,1,1,0,1,1,0
211,1,0,0,1,0,0
212,1,1,1,0,0,1
213,1,1,1,0,1,0
214,1,1,1,0,0,0
215,1,1,1,0,0,0
216,0,0,1,1,0,0
217,1,1,0,1,1,1
218,1,0,0,0,1,0
219,0,0,0,0,1,1
220,0,0,0,1,1,0
221,0,1,0,0,1,0
222,0,1,0,1,1,0
223,1,0,1,1,0,0
224,1,1,0,1,1,0
225,0,1,0,0,0,1
226,0,0,0,1,1,0
227,0,1,1,1,0,0
228,0,0,0,1,0,1
229,1,1,0,0,0,1
230,1,1,0,1,1,1
231,0,0,0,0,1,0
232,0,1,0,0,0,0
233,0,0,0,0,0,1
234,1,1,0,1,0,1
235,1,0,1,1,1,1
236,0,0,0,0,1,1
237,0,1,1,0,0,0
238,1,1,0,1,0,0
239,0,0,0,0,1,0
240,0,1,0,0,1,0
241,1,0,0,1,0,0
242,1,0,0,0,1,0
243,1,1,1,0,0,1
244,0,0,1,1,0,0
245,0,1,0,0,0,1
246,1,0,0,0,1,0
247,0,1,1,0,0,1
248,1,1,1,0,1,0
249,1,1,1,0,0,0
250,0,0,1,0,0,0
251,0,1,0,0,1,1
252,1,0,1,0,1,0
253,1,0,0,0,0,1
254,1,0,1,0,0,0
255,0,0,1,1,1,1
256,1,1,1,0,1,0
257,1,1,0,1,1,1
258,1,0,1,1,0,0
259,0,1,1,1,1,1
260,0,1,1,0,1,1
261,1,0,1,0,1,0
262,0,0,1,0,1,1
263,0,0,0,1,0,0
264,0,0,0,1,0,0
265,0,0,0,1,1,1
266,0,1,1,0,1,1
267,0,0,0,0,1,1
268,1,1,0,0,0,0
269,0,0,1,1,0,0
270,0,1,1,1,1,0
271,1,0,1,0,0,0
272,1,0,1,1,1,0
273,1,1,0,0,0,1
274,1,0,0,1,0,1
275,1,1,1,1,1,1
276,1,1,1,1,0,0
277,0,1,1,1,1,0
278,1,1,1,0,1,0
279,1,0,0,1,0,1
280,1,0,0,1,0,0
281,1,1,0,1,0,1
282,0,0,0,0,1,1
283,1,0,1,1,0,0
284,1,1,0,1,1,1
285,0,1,1,0,0,1
286,0,0,1,0,0,0
287,1,0,0,0,1,0
288,1,0,1,1,1,0
289,1,0,0,1,1,0
290,0,1,1,0,1,1
291,1,1,1,1,0,0
292,0,1,1,1,1,1
293,1,0,1,0,1,1
294,1,0,0,0,0,1
295,0,0,0,1,0,1
296,1,0,1,0,1,0
297,1,1,0,0,1,1
298,1,0,1,0,0,1
299,1,0,0,0,0,1
300,0,0,1,1,1,1
301,1,0,1,1,0,1
302,0,1,0,0,1,1
303,0,1,0,0,1,1
304,1,0,0,1,0,0
305,1,0,0,1,0,1
306,1,0,0,0,0,1
307,0,1,0,1,1,1
308,0,0,1,1,1,0
309,0,0,1,1,0,0
310,1,1,0,1,0,0
311,1,0,0,1,0,0
312,0,0,0,1,0,1
313,0,1,1,0,1,1
314,1,0,1,0,1,1
315,1,0,1,0,0,1
316,1,0,1,0,1,0
317,0,1,1,0,0,1
318,1,1,0,1,1,1
319,0,1,0,1,0,0
320,1,0,0,1,1,1
321,1,1,1,0,0,0
322,1,0,0,0,1,0
323,0,0,0,0,1,1
324,1,0,1,0,0,1
325,0,1,0,1,1,1
326,1,1,1,0,0,0
327,1,1,1,1,1,0
328,1,0,1,1,0,0
329,1,1,1,1,1,0
330,0,0,0,0,1,0
331,0,0,1,1,1,1
332,0,0,1,0,0,1
333,0,1,1,0,1,1
334,0,0,0,0,1,0
335,0,1,1,0,0,1
336,1,0,0,1,0,1
337,1,0,0,1,1,0
338,0,1,0,0,0,1
339,1,1,1,1,0,1
340,0,0,1,0,0,0
341,1,1,1,1,0,1
342,0,1,0,0,0,1
343,1,1,1,1,0,0
344,0,1,0,0,1,1
345,1,1,0,1,0,0
346,0,0,0,0,0,1
347,0,0,1,0,1,0
348,0,0,1,0,0,1
349,1,0,1,0,1,0
350,1,1,1,1,0,1
351,1,1,1,0,0,1
352,0,0,1,0,0,0
353,1,1,0,1,0,0
354,0,1,0,1,1,0
355,0,0,0,0,0,0
356,1,1,1,1,1,0
357,0,0,1,0,0,1
358,1,1,0,0,1,0
