Sector,Hemisphere,Value,Profitable
Solar,South,Above $10m,No
Solar,South,Below $10m,Yes
Solar,South,Above $10m,No
Solar,South,Below $10m,Yes
Solar,North,Above $10m,Yes
Solar,North,Below $10m,Yes
Solar,South,Below $10m,Yes
Solar,North,Above $10m,Yes
Solar,North,Below $10m,Yes
Solar,South,Below $10m,Yes
Solar,South,Above $10m,Yes
Solar,North,Below $10m,Yes
Solar,North,Below $10m,Yes
Solar,South,Above $10m,Yes
Solar,North,Below $10m,Yes
Solar,South,Below $10m,No
Solar,South,Above $10m,Yes
Solar,South,Below $10m,No
Solar,South,Below $10m,Yes
Solar,North,Below $10m,Yes
Solar,South,Below $10m,No
Solar,South,Below $10m,Yes
Solar,North,Above $10m,Yes
Solar,South,Above $10m,No
Solar,North,Above $10m,No
Wind,North,Below $10m,Yes
Wind,North,Above $10m,No
Wind,North,Above $10m,No
Wind,North,Above $10m,No
Wind,North,Below $10m,Yes
Wind,South,Above $10m,Yes
Wind,North,Above $10m,No
Wind,South,Below $10m,Yes
Wind,North,Above $10m,No
Wind,North,Above $10m,No
Wind,North,Below $10m,Yes
Wind,North,Below $10m,No
Wind,North,Above $10m,No
Wind,North,Below $10m,No
Wind,South,Above $10m,Yes
Wind,South,Above $10m,No
Wind,South,Above $10m,Yes
Wind,South,Below $10m,No
Wind,North,Above $10m,No
Wind,South,Below $10m,No
Wind,South,Above $10m,Yes
Wind,South,Above $10m,No
Wind,South,Above $10m,No
Wind,North,Below $10m,No
Wind,North,Above $10m,No
